budget bound algo success avg
300 5 HC 865 122.14
300 5 HCF 885 108.85
300 5 RD 999 45.77
300 25 HC 865 122.14
300 25 HCF 885 108.85
300 25 RD 429 229.83
300 50 HC 865 122.14
300 50 HCF 885 108.85
300 50 RD 254 258.49
300 250 HC 865 122.14
300 250 HCF 885 108.85
300 250 RD 53 291.01
300 500 HC 865 122.14
300 500 HCF 885 108.85
300 500 RD 21 296.75
300 1000 HC 865 122.14
300 1000 HCF 885 108.85
300 1000 RD 12 297.91
